State,Year,Month,Megawatthours,Temp,Count,price
AK,2009,5,-3.42E-08,0.130624594,-4.36E-07,2.161444993
AK,2009,6,-1.14E-08,0.074683661,-4.14E-07,1.185215684
AK,2009,7,2.15E-08,0.049550778,-4.44E-07,0.648289564
AK,2009,8,1.60E-08,-0.059088135,-4.80E-07,-4.330479912
AK,2009,9,-1.03E-08,-0.061520349,-4.47E-07,2.161444993
AK,2009,10,4.06E-08,-0.091517661,-5.52E-07,-2.329209829
AK,2009,11,4.78E-08,-0.18880624,-6.04E-07,1.673330338
AK,2009,12,8.12E-08,0.021174943,-4.70E-07,-2.036341036
AK,2010,1,9.36E-09,-0.072059945,-5.02E-07,-2.231586898
AK,2010,2,-8.50E-08,0.073872923,-5.10E-07,1.282838615
AK,2010,3,2.40E-08,-0.009633107,-3.90E-07,-0.864865865
AK,2010,4,-6.15E-08,0.137110499,-5.08E-07,2.356690855
AK,2010,5,-2.93E-08,0.115220569,-4.33E-07,1.234027149
AK,2010,6,-1.19E-08,0.064954803,-3.99E-07,-1.108923193
AK,2010,7,3.35E-08,0.019553466,-4.79E-07,-1.255357589
AK,2010,8,2.49E-08,-0.006390155,-4.40E-07,-0.523185607
AK,2010,9,-2.16E-08,-0.072059945,-4.68E-07,-0.523185607
AK,2010,10,3.45E-08,-0.124757926,-5.69E-07,-0.376751211
AK,2010,11,4.59E-08,-0.081788803,-5.88E-07,2.551936716
AK,2010,12,1.02E-07,-0.164484096,-5.04E-07,0.208986375
AK,2011,1,2.22E-08,0.074683661,-4.87E-07,1.624518873
AK,2011,2,-8.77E-08,-0.009633107,-5.41E-07,0.355420771
AK,2011,3,1.56E-08,0.046307826,-3.74E-07,1.380461546
AK,2011,4,-6.98E-08,0.090087686,-5.04E-07,0.697101029
AK,2011,5,-3.40E-08,0.138731976,-4.95E-07,-0.8160544
AK,2011,6,-1.97E-08,0.073872923,-3.47E-07,1.917387666
AK,2011,7,1.84E-08,0.017121252,-4.85E-07,2.161444993
AK,2011,8,3.23E-08,-0.026658609,-4.20E-07,-2.524455691
AK,2011,9,-9.90E-09,-0.055034444,-4.74E-07,0.697101029
AK,2011,10,3.80E-08,-0.11421833,-5.59E-07,0.355420771
AK,2011,11,7.70E-08,-0.203399527,-5.10E-07,-1.35298052
AK,2011,12,6.47E-08,0.045497088,-5.58E-07,-1.060111727
AK,2012,1,2.35E-08,-0.181509597,-5.12E-07,4.5532068
AK,2012,2,-2.89E-08,0.200348076,-4.75E-07,-5.209086291
AK,2012,3,-4.97E-08,-0.064763302,-4.81E-07,4.357960938
AK,2012,4,-5.33E-08,0.184944051,-4.72E-07,-4.818594567
AK,2012,5,-4.52E-08,0.078737352,-6.02E-07,4.260338007
AK,2012,6,-1.51E-08,0.105491711,-2.79E-07,-2.378021294
AK,2012,7,3.85E-08,0.011446085,-5.33E-07,4.211526542
AK,2012,8,1.52E-08,-0.018551227,-4.13E-07,-2.280398363
AK,2012,9,-1.22E-08,-0.076924374,-5.47E-07,-5.746012411
AK,2012,10,3.63E-08,-0.123947188,-4.11E-07,3.869846284
AK,2012,11,8.11E-08,-0.159619667,-6.07E-07,-3.744742327
AK,2012,12,8.85E-08,-0.05665592,-5.49E-07,1.429273011
AK,2013,1,-1.37E-08,0.084412519,-4.53E-07,-1.35298052
AK,2013,2,-1.14E-07,-0.029901561,-5.43E-07,1.819764735
AK,2013,3,1.92E-08,0.036578968,-4.49E-07,0.648289564
AK,2013,4,-3.11E-08,0.044686349,-4.67E-07,3.137674302
AK,2013,5,-2.33E-08,0.148460834,-4.06E-07,-0.523185607
AK,2013,6,-3.41E-08,0.15008231,-4.68E-07,-1.792283709
AK,2013,7,2.05E-08,0.007392394,-4.24E-07,2.844805509
AK,2013,8,3.58E-08,-0.030712299,-4.94E-07,-4.379291378
AK,2013,9,-1.72E-08,-0.097192828,-4.70E-07,-0.035070953
AK,2013,10,2.76E-08,-0.046927063,-4.51E-07,0.843535426
AK,2013,11,3.43E-08,-0.166105572,-6.01E-07,2.94242844
AK,2013,12,1.11E-07,-0.055845182,-5.41E-07,1.087592753
AK,2014,1,2.45E-09,0.090898424,-4.56E-07,-4.428102843
AK,2014,2,-9.34E-08,-0.09638209,-5.52E-07,1.624518873
AK,2014,3,3.26E-08,0.058468898,-4.32E-07,-0.425562676
AK,2014,4,-7.83E-08,0.106302449,-1.06E-06,-0.083882418
AK,2014,5,-2.70E-08,0.116031307,6.71E-07,6.652099814
AK,2014,6,-7.88E-09,0.04874004,-4.54E-07,2.307879389
AK,2014,7,2.19E-08,0.03576823,-4.28E-07,0.599478098
AK,2014,8,1.73E-08,-0.007200893,-4.69E-07,-1.401791985
AK,2014,9,3.84E-09,-0.080167327,-4.35E-07,-2.914947414
AK,2014,10,3.17E-08,-0.135297522,-4.43E-07,1.722141804
AK,2014,11,3.95E-08,-0.051791492,-5.39E-07,-0.669620003
AK,2014,12,6.80E-08,-0.038819681,-5.18E-07,-6.771053185
AK,2015,1,1.31E-08,-0.06557404,-1.07E-06,2.649559647
AK,2015,2,-4.31E-08,0.043064873,-5.02E-07,-0.181505349
AK,2015,3,-1.19E-08,0.025228634,-4.15E-07,0.79472396
AK,2015,4,-5.06E-08,0.098195068,-4.25E-07,-0.571997073
AK,2015,5,-3.15E-08,0.133056809,-4.74E-07,1.624518873
AK,2015,6,-1.59E-08,0.059279636,-4.32E-07,2.844805509
AK,2015,7,2.66E-08,0.013878299,-4.46E-07,0.648289564
AK,2015,8,2.70E-08,-0.041251895,-4.56E-07,-1.88990664
AK,2015,9,-7.61E-09,-0.085842494,-4.47E-07,-1.206546123
AK,2015,10,3.41E-08,-0.060709611,-4.77E-07,-0.425562676
AL,2007,2,-2.40E-07,-0.016929751,-1.92E-07,1.478084476
AL,2007,3,-4.86E-07,0.121706474,-3.53E-07,-0.913677331
AL,2007,4,-4.86E-07,-0.001525726,-4.60E-07,0.79472396
AL,2007,5,1.14E-06,0.089276948,-3.77E-07,0.697101029
AL,2007,6,1.10E-06,0.060090374,-1.73E-07,2.307879389
AL,2007,7,9.36E-07,0.001717227,-4.20E-07,-0.913677331
AL,2007,8,9.55E-07,0.040632659,5.28E-08,3.088862836
AL,2007,9,-1.26E-06,-0.069627731,-5.05E-07,-3.695930862
AL,2007,10,-1.67E-06,-0.078545851,-5.04E-07,-0.718431469
AL,2007,11,-1.12E-06,-0.106110948,-3.62E-07,-1.206546123
AL,2007,12,7.62E-07,-0.017740489,-4.49E-07,-0.27912828
AL,2008,1,1.14E-06,-0.071249207,7.27E-05,1.722141804
AL,2008,2,-9.15E-07,0.04874004,-2.36E-07,-1.011300262
AL,2008,3,-4.52E-07,0.047118564,-4.61E-07,-1.401791985
AL,2008,4,-5.00E-07,0.060090374,-3.96E-07,1.234027149
AL,2008,5,7.67E-07,0.059279636,-2.84E-07,1.819764735
AL,2008,6,1.65E-06,0.06657628,-2.81E-07,6.359231022
AL,2008,7,7.31E-07,0.00901387,-2.03E-07,1.234027149
AL,2008,8,-2.11E-07,-0.014497536,-8.43E-08,-0.767242934
AL,2008,9,-1.09E-06,-0.033144514,-6.50E-07,-0.425562676
AL,2008,10,-1.64E-06,-0.101246519,-5.30E-07,0.697101029
AL,2008,11,-6.03E-07,-0.092328399,-5.25E-07,-0.8160544
AL,2008,12,7.03E-07,-0.012065322,-3.76E-07,-1.304169054
AL,2009,1,4.82E-07,-0.037198205,-1.18E-06,0.501855167
AL,2009,2,-8.57E-07,0.021985681,-3.70E-07,-0.718431469
AL,2009,3,-5.53E-07,0.072251447,-5.96E-07,-1.694660778
AL,2009,4,-4.92E-07,0.031714539,-5.42E-07,0.25779784
AL,2009,5,1.03E-06,0.077926614,-5.59E-07,-0.767242934
AL,2009,6,1.07E-06,0.064954803,-2.77E-07,5.041321454
AL,2009,7,1.62E-06,-0.012065322,-5.64E-07,-2.96375888
AL,2009,8,-5.18E-07,-0.002336464,-4.62E-07,0.550666633
AL,2009,9,-8.95E-07,-0.02584787,-5.12E-07,-2.524455691
AL,2009,10,-1.43E-06,-0.100435781,-5.67E-07,-3.305439138
AL,2009,11,-3.53E-07,-0.077735113,-4.57E-07,0.306609306
AL,2009,12,1.16E-06,-0.071249207,-3.28E-07,2.551936716
AL,2010,1,1.57E-06,-0.040441157,-1.18E-06,-0.669620003
AL,2010,2,-9.18E-07,0.003338703,-2.42E-07,-1.645849313
AL,2010,3,-7.02E-07,0.084412519,-3.23E-07,0.453043702
AL,2010,4,-9.53E-07,0.103870235,-6.05E-07,1.33165008
AL,2010,5,9.75E-07,0.072251447,-4.36E-07,0.989969822
AL,2010,6,1.82E-06,0.060090374,1.08E-06,1.478084476
AL,2010,7,1.13E-06,0.012256823,4.75E-07,-0.181505349
AL,2010,8,1.75E-07,0.001717227,-7.35E-07,2.112633527
AL,2010,9,-1.37E-06,-0.050980753,-6.47E-07,-2.133963967
AL,2010,10,-2.14E-06,-0.103678734,-4.40E-07,-0.620808538
AL,2010,11,-5.78E-07,-0.075302898,-6.69E-07,-1.401791985
AL,2010,12,2.24E-06,-0.122325711,-1.46E-06,0.25779784
AL,2011,1,4.69E-07,0.00496018,-5.56E-07,-0.571997073
AL,2011,2,-1.55E-06,0.06657628,-3.95E-07,-0.327939745
AL,2011,3,-4.17E-07,0.065765542,-3.62E-07,-2.133963967
AL,2011,4,-4.72E-07,0.062522589,-4.07E-07,0.648289564
AL,2011,5,6.15E-07,0.032525277,-2.33E-06,3.040051371
AL,2011,6,2.13E-06,0.090898424,1.71E-06,2.698371113
AL,2011,7,6.46E-07,0.001717227,-6.17E-07,0.208986375
AL,2011,8,5.89E-07,-0.000714988,-7.61E-08,0.013740513
AL,2011,9,-2.22E-06,-0.080167327,-6.77E-07,-1.938718105
AL,2011,10,-1.64E-06,-0.094760614,-5.52E-07,-1.108923193
AL,2011,11,-1.37E-07,-0.044494848,-9.99E-07,-1.694660778
AL,2011,12,9.11E-07,-0.050170015,3.27E-08,0.843535426
AL,2012,1,2.02E-07,0.00496018,-1.04E-06,-1.060111727
AL,2012,2,-7.83E-07,0.014689038,-1.58E-07,0.208986375
AL,2012,3,-3.27E-08,0.099816544,-2.07E-07,-0.474374142
AL,2012,4,-1.62E-07,0.001717227,-3.75E-07,-0.132693884
AL,2012,5,1.14E-06,0.06657628,-2.81E-07,0.501855167
AL,2012,6,6.68E-07,0.026039372,-3.25E-07,4.162715076
AL,2012,7,1.32E-06,0.037389706,-5.11E-07,0.453043702
AL,2012,8,-3.84E-07,-0.029901561,-9.32E-08,-0.620808538
AL,2012,9,-1.24E-06,-0.042873372,-6.82E-07,-1.108923193
AL,2012,10,-1.30E-06,-0.089085447,-4.15E-07,-3.012570345
AL,2012,11,-1.44E-07,-0.090706923,-4.63E-07,-1.011300262
AL,2012,12,5.86E-07,-0.00395794,-4.68E-07,0.745912495
AL,2013,1,6.18E-07,-0.008822369,-8.38E-07,-1.011300262
AL,2013,2,-8.21E-07,-0.017740489,-3.80E-07,0.062551978
AL,2013,3,3.30E-07,0.013067561,-9.05E-07,-0.181505349
AL,2013,4,-6.65E-07,0.099005806,3.93E-07,-1.011300262
AL,2013,5,5.55E-07,0.047118564,-5.54E-07,1.136404218
AL,2013,6,1.37E-06,0.077926614,-9.87E-07,4.113903611
AL,2013,7,5.80E-07,-0.00395794,3.36E-07,-0.913677331
AL,2013,8,2.70E-07,9.58E-05,-4.43E-07,0.160174909
AL,2013,9,-9.11E-07,-0.025037132,-2.18E-07,0.062551978
AL,2013,10,-1.13E-06,-0.08341028,-3.98E-07,-3.598307931
AL,2013,11,-3.31E-07,-0.109353901,-6.04E-07,-2.280398363
AL,2013,12,9.52E-07,-0.031523038,-1.98E-07,1.185215684
AL,2014,1,1.60E-06,-0.08746397,-1.42E-06,2.551936716
AL,2014,2,-1.73E-06,0.07954809,-3.47E-07,-0.230316814
AL,2014,3,-3.43E-07,0.039011182,-3.10E-07,-0.8160544
AL,2014,4,-9.55E-07,0.080358828,-5.69E-07,-1.108923193
AL,2014,5,9.16E-07,0.061711851,-4.16E-07,1.429273011
AL,2014,6,1.22E-06,0.060901113,1.41E-07,2.94242844
AL,2014,7,7.52E-07,-0.002336464,3.62E-07,0.208986375
AL,2014,8,2.46E-07,0.012256823,-1.50E-07,-0.132693884
AL,2014,9,-7.33E-07,-0.027469347,-5.60E-07,-1.597037847
AL,2014,10,-1.56E-06,-0.091517661,-3.08E-07,-3.354250603
AL,2014,11,-2.88E-07,-0.139351213,-5.30E-07,0.843535426
AL,2014,12,7.97E-07,0.013067561,-8.64E-08,-1.108923193
AL,2015,1,9.61E-07,-0.053412968,-1.44E-06,0.501855167
AL,2015,2,-8.01E-07,-0.020172703,-9.60E-07,1.8685762
AL,2015,3,-5.89E-07,0.132246071,4.71E-07,-1.304169054
AL,2015,4,-9.08E-07,0.064954803,-4.76E-07,-0.27912828
AL,2015,5,9.15E-07,0.045497088,-4.01E-07,1.8685762
AL,2015,6,1.50E-06,0.055225945,-2.45E-07,1.917387666
AL,2015,7,1.15E-06,0.021174943,-1.37E-07,0.306609306
AL,2015,8,-2.11E-07,-0.022604918,-4.41E-07,-0.571997073
AL,2015,9,-1.52E-06,-0.038819681,-3.55E-07,-0.27912828
AL,2015,10,-1.33E-06,-0.077735113,-4.80E-07,-4.03761112
AR,2007,2,3.60E-08,0.006581656,-6.41E-07,0.013740513
AR,2007,3,-4.21E-07,0.149271572,-3.29E-07,0.745912495
AR,2007,4,-3.45E-07,-0.018551227,-4.57E-07,-3.403062069
AR,2007,5,1.99E-07,0.108734664,-2.08E-07,0.550666633
AR,2007,6,7.93E-07,0.047929302,1.07E-07,1.673330338
AR,2007,7,6.14E-07,0.002527965,-3.52E-07,2.844805509
AR,2007,8,5.46E-07,0.047929302,-1.25E-07,0.355420771
AR,2007,9,-2.92E-07,-0.079356589,-1.03E-06,-0.962488796
AR,2007,10,-9.37E-07,-0.08341028,-1.06E-07,-2.231586898
AR,2007,11,-6.53E-07,-0.094760614,-1.03E-06,0.062551978
AR,2007,12,2.48E-07,-0.070438469,-6.05E-07,-0.669620003
AR,2008,1,4.80E-07,-0.042062634,4.04E-05,-1.011300262
AR,2008,2,-1.23E-07,0.03576823,-4.79E-07,0.453043702
AR,2008,3,-3.78E-07,0.065765542,-4.39E-07,1.234027149
AR,2008,4,-3.75E-07,0.054415207,-3.24E-07,1.526895942
AR,2008,5,1.48E-07,0.073872923,-3.47E-07,0.989969822
AR,2008,6,8.73E-07,0.076305138,8.48E-08,3.967469215
AR,2008,7,6.44E-07,0.021174943,4.88E-08,0.25779784
AR,2008,8,2.40E-07,-0.024226394,-3.60E-07,-1.548226382
AR,2008,9,-9.15E-07,-0.055034444,-5.93E-07,-0.181505349
AR,2008,10,-7.51E-07,-0.091517661,-6.91E-07,-2.280398363
AR,2008,11,-3.64E-07,-0.091517661,-9.54E-07,-0.864865865
AR,2008,12,4.67E-07,-0.06557404,-5.51E-07,-0.083882418
AR,2009,1,2.66E-07,-0.022604918,-5.76E-07,0.599478098
AR,2009,2,-4.01E-07,0.07062997,-7.88E-07,0.404232236
AR,2009,3,-2.92E-07,0.042254135,2.64E-08,-0.27912828
AR,2009,4,-3.65E-07,0.054415207,-5.13E-07,-2.231586898
AR,2009,5,1.20E-07,0.062522589,-4.44E-07,0.160174909
AR,2009,6,8.32E-07,0.090087686,1.88E-07,1.478084476
AR,2009,7,1.07E-06,-0.009633107,-1.91E-08,1.819764735
AR,2009,8,-1.50E-07,-0.011254584,-4.25E-07,-0.8160544
AR,2009,9,-6.06E-07,-0.044494848,-5.41E-07,-2.133963967
AR,2009,10,-6.82E-07,-0.117461282,-7.88E-07,-0.864865865
AR,2009,11,-3.37E-07,-0.02584787,-8.73E-07,-0.523185607
AR,2009,12,6.45E-07,-0.130433093,-4.80E-07,0.941158356
AR,2010,1,8.87E-07,-0.014497536,-1.07E-06,0.306609306
AR,2010,2,-4.26E-07,-0.001525726,-5.16E-07,-0.718431469
AR,2010,3,-4.18E-07,0.111977617,-1.27E-07,-0.27912828
AR,2010,4,-4.80E-07,0.103059497,-5.26E-07,-1.011300262
AR,2010,5,2.13E-07,0.062522589,-4.07E-07,0.404232236
AR,2010,6,1.13E-06,0.081980305,1.16E-06,2.795994044
AR,2010,7,8.64E-07,0.001717227,3.01E-07,-1.987529571
AR,2010,8,3.31E-07,0.013878299,-6.81E-07,-0.230316814
AR,2010,9,-7.50E-07,-0.075302898,-6.53E-07,-1.060111727
AR,2010,10,-1.15E-06,-0.099625043,-9.46E-07,-1.108923193
AR,2010,11,-5.68E-07,-0.088274709,-8.46E-07,-1.060111727
AR,2010,12,6.18E-07,-0.107732424,-1.15E-06,0.404232236
AR,2011,1,6.61E-07,-0.012065322,-2.92E-07,-0.962488796
AR,2011,2,-3.58E-07,0.049550778,-6.34E-07,0.208986375
AR,2011,3,-6.43E-07,0.068197756,-1.57E-07,-0.327939745
AR,2011,4,-1.32E-07,0.087655472,-7.00E-07,1.819764735
AR,2011,5,7.61E-08,0.029282324,-4.52E-07,0.941158356
AR,2011,6,1.17E-06,0.115220569,5.31E-07,2.649559647
AR,2011,7,9.28E-07,0.022796419,-1.89E-07,1.234027149
AR,2011,8,2.66E-07,-0.014497536,-1.43E-07,0.013740513
AR,2011,9,-1.13E-06,-0.106110948,-6.30E-07,-0.864865865
AR,2011,10,-9.74E-07,-0.079356589,-9.28E-07,-3.647119396
AR,2011,11,-4.29E-07,-0.059898873,-1.12E-06,-0.27912828
AR,2011,12,4.16E-07,-0.08341028,-4.53E-07,-0.376751211
AR,2012,1,4.11E-07,0.00901387,-7.05E-07,-0.181505349
AR,2012,2,-3.39E-07,0.019553466,-4.87E-07,0.062551978
AR,2012,3,-2.35E-07,0.120084998,-4.34E-07,0.208986375
AR,2012,4,-1.91E-07,0.016310514,-3.52E-07,-0.767242934
AR,2012,5,3.36E-07,0.069819232,1.36E-07,0.892346891
AR,2012,6,8.56E-07,0.037389706,3.05E-08,3.040051371
AR,2012,7,8.90E-07,0.047929302,-2.41E-07,0.892346891
AR,2012,8,2.15E-07,-0.033144514,-3.61E-07,0.160174909
AR,2012,9,-9.14E-07,-0.055845182,-8.33E-07,-0.620808538
AR,2012,10,-9.70E-07,-0.116650544,-5.95E-07,-3.061381811
AR,2012,11,-3.83E-07,-0.075302898,-9.89E-07,-0.083882418
AR,2012,12,2.00E-07,-0.032333776,-4.76E-07,-0.083882418
AR,2013,1,6.53E-07,-0.036387466,-5.80E-07,0.550666633
AR,2013,2,-3.56E-07,0.008203132,-4.00E-07,0.111363444
AR,2013,3,-2.81E-09,0.025228634,-5.43E-07,-0.083882418
AR,2013,4,-2.93E-07,0.094952115,-3.24E-07,-0.132693884
AR,2013,5,-1.91E-07,0.069008494,-2.24E-07,1.087592753
AR,2013,6,7.39E-07,0.078737352,-5.91E-08,2.063822062
AR,2013,7,9.16E-07,0.005770918,1.60E-07,0.404232236
AR,2013,8,8.40E-08,0.001717227,-3.19E-07,-0.230316814
AR,2013,9,-2.19E-07,-0.02584787,-5.63E-07,-0.425562676
AR,2013,10,-8.05E-07,-0.11421833,-6.35E-07,-3.110193276
AR,2013,11,-6.63E-07,-0.115029068,-7.50E-07,-0.425562676
AR,2013,12,7.17E-07,-0.061520349,-4.71E-07,0.111363444
AR,2014,1,5.33E-07,-0.041251895,-4.50E-06,-2.182775433
AR,2014,2,-2.02E-07,0.027660848,-5.41E-07,0.697101029
AR,2014,3,-4.44E-07,0.060901113,-7.33E-07,0.550666633
AR,2014,4,-6.18E-07,0.104680973,-4.22E-07,0.745912495
AR,2014,5,-1.13E-07,0.067387018,-4.72E-07,0.79472396
AR,2014,6,8.47E-07,0.068197756,6.45E-06,2.015010596
AR,2014,7,7.25E-07,-0.012065322,5.74E-07,0.989969822
AR,2014,8,2.42E-07,0.025228634,-4.02E-07,-0.669620003
AR,2014,9,-8.50E-08,-0.050980753,-4.29E-07,0.013740513
AR,2014,10,-1.00E-06,-0.073681422,-6.61E-07,-3.159004742
AR,2014,11,-3.63E-07,-0.153944499,-7.57E-07,-0.376751211
AR,2014,12,4.18E-07,-0.010443845,-4.39E-07,-0.571997073
AR,2015,1,4.03E-07,-0.04368411,-3.12E-06,-0.425562676
AR,2015,2,-3.14E-07,-0.02179418,-8.80E-07,0.941158356
AR,2015,3,1.67E-07,0.108734664,6.86E-08,-0.376751211
AR,2015,4,-1.02E-06,0.102248759,-8.32E-07,0.648289564
AR,2015,5,1.06E-07,0.053604469,-3.46E-07,1.136404218
AR,2015,6,8.33E-07,0.069819232,2.86E-07,1.8685762
AR,2015,7,1.06E-06,0.029282324,2.28E-08,1.380461546
AR,2015,8,2.82E-07,-0.032333776,-3.25E-07,-0.035070953
AR,2015,9,-8.41E-07,-0.028280085,-5.35E-07,-0.474374142
AR,2015,10,-7.78E-07,-0.093139138,-7.06E-07,-3.744742327
AZ,2007,2,-1.09E-06,0.060901113,1.32E-08,0.25779784
AZ,2007,3,1.58E-07,0.061711851,2.10E-08,0.550666633
AZ,2007,4,-4.88E-08,0.037389706,-1.69E-06,0.697101029
AZ,2007,5,1.75E-06,0.072251447,-8.60E-07,4.406772404
AZ,2007,6,1.16E-06,0.07062997,-2.59E-07,0.111363444
AZ,2007,7,1.75E-06,0.036578968,-3.13E-07,2.503125251
AZ,2007,8,1.14E-07,-0.013686798,-1.38E-07,-0.425562676
AZ,2007,9,-7.25E-07,-0.055845182,2.34E-08,-0.962488796
AZ,2007,10,-2.40E-06,-0.093949876,1.75E-07,-1.011300262
AZ,2007,11,-1.30E-06,-0.059088135,4.45E-07,-4.476914309
AZ,2007,12,4.13E-07,-0.126379402,4.35E-07,-0.620808538
AZ,2008,1,2.10E-07,-0.002336464,1.90E-05,0.501855167
AZ,2008,2,-5.34E-07,0.040632659,-6.58E-07,0.501855167
AZ,2008,3,-2.70E-07,0.053604469,-2.94E-07,0.404232236
AZ,2008,4,-8.02E-08,0.04874004,-1.56E-06,1.624518873
AZ,2008,5,1.04E-06,0.043875611,-9.35E-07,3.967469215
AZ,2008,6,1.81E-06,0.109545402,-4.99E-07,2.112633527
AZ,2008,7,1.68E-06,0.024417895,-5.37E-07,0.501855167
AZ,2008,8,1.33E-07,-0.011254584,-4.92E-07,-0.181505349
AZ,2008,9,-1.21E-06,-0.047737801,-3.71E-07,-2.475644225
AZ,2008,10,-1.85E-06,-0.088274709,1.16E-07,-1.597037847
AZ,2008,11,-1.45E-06,-0.079356589,3.09E-07,-4.135234051
AZ,2008,12,2.51E-07,-0.089896185,4.62E-07,0.501855167
AZ,2009,1,3.71E-08,0.021174943,1.02E-07,-0.083882418
AZ,2009,2,-8.88E-07,0.009824609,-1.91E-07,0.843535426
AZ,2009,3,2.57E-07,0.046307826,-5.20E-07,0.111363444
AZ,2009,4,-1.69E-07,0.034957491,-1.53E-06,1.526895942
AZ,2009,5,2.06E-06,0.11035614,-1.14E-06,4.797264127
AZ,2009,6,3.61E-07,0.016310514,-8.66E-07,0.306609306
AZ,2009,7,2.38E-06,0.077926614,-3.33E-07,1.185215684
AZ,2009,8,5.14E-08,-0.026658609,-7.74E-07,-0.035070953
AZ,2009,9,-1.27E-06,-0.046927063,-3.84E-07,-1.548226382
AZ,2009,10,-2.22E-06,-0.120704235,2.51E-07,-1.792283709
AZ,2009,11,-1.09E-06,-0.054223706,2.78E-07,-4.867406032
AZ,2009,12,4.05E-07,-0.11421833,7.88E-07,-0.620808538
AZ,2010,1,1.06E-07,0.024417895,-9.16E-07,-0.620808538
AZ,2010,2,-8.51E-07,0.015499776,-4.61E-08,0.599478098
AZ,2010,3,2.98E-07,0.038200444,-1.74E-07,0.062551978
AZ,2010,4,-6.93E-08,0.054415207,-1.48E-06,0.599478098
AZ,2010,5,9.06E-07,0.055225945,-1.27E-06,6.505665418
AZ,2010,6,2.01E-06,0.102248759,-7.50E-07,1.380461546
AZ,2010,7,2.03E-06,0.046307826,-4.34E-07,1.136404218
AZ,2010,8,-5.42E-07,-0.024226394,-7.50E-07,-0.864865865
AZ,2010,9,-9.50E-07,-0.030712299,-5.31E-07,-1.450603451
AZ,2010,10,-2.25E-06,-0.104489472,3.23E-07,-3.061381811
AZ,2010,11,-1.14E-06,-0.118272021,2.11E-07,-4.086422585
AZ,2010,12,3.64E-07,-0.014497536,5.66E-07,-1.011300262
AZ,2011,1,5.46E-07,-0.04368411,5.63E-07,-0.27912828
AZ,2011,2,-6.61E-07,9.58E-05,1.54E-07,0.404232236
AZ,2011,3,-2.04E-07,0.092519901,-3.54E-07,0.111363444
AZ,2011,4,3.19E-07,0.043875611,-1.93E-06,2.551936716
AZ,2011,5,7.64E-07,0.033336015,-8.76E-07,3.47935456
AZ,2011,6,1.81E-06,0.099816544,-6.96E-07,2.063822062
AZ,2011,7,1.77E-06,0.03982192,-4.99E-07,1.185215684
AZ,2011,8,6.83E-07,0.009824609,-3.95E-07,-1.108923193
AZ,2011,9,-1.95E-06,-0.063141826,-1.21E-07,-1.694660778
AZ,2011,10,-2.13E-06,-0.097192828,3.18E-09,-2.329209829
AZ,2011,11,-1.32E-06,-0.110164639,4.39E-07,-4.769783102
AZ,2011,12,1.11E-06,-0.078545851,9.95E-07,-0.425562676
AZ,2012,1,-5.01E-07,0.042254135,-1.44E-06,-0.327939745
AZ,2012,2,-5.88E-07,0.000906489,-3.79E-09,0.111363444
AZ,2012,3,1.50E-07,0.047118564,-9.88E-07,0.355420771
AZ,2012,4,4.17E-07,0.071440709,-1.68E-06,2.747182578
AZ,2012,5,1.54E-06,0.069008494,-1.18E-06,4.309149473
AZ,2012,6,1.58E-06,0.074683661,-4.90E-07,1.185215684
AZ,2012,7,7.06E-07,0.00901387,-6.19E-07,0.599478098
AZ,2012,8,6.70E-07,0.002527965,2.50E-07,-0.27912828
