State,Year,Month,Temp,Count,price,Megawatthours
SD,2007,2,15.2,320800,6.47,948943
TN,2007,2,35.9,2078406,6.9,9228785
TX,2007,2,49.4,7889234,9.99,26280458
UT,2007,2,34.3,885782,6.06,2067897
VA,2007,2,31.9,3008798,6.84,9834008
VT,2007,2,12.8,307472,11.94,501505
WA,2007,2,35.6,2412613,6.3,8076286
WI,2007,2,11.7,2367197,8.4,5818193
WV,2007,2,24.2,991482,5.2,3134705
WY,2007,2,24.8,258027,5.28,1291005
AK,2007,3,-0.2,269698,13.29,555841
AL,2007,3,60,1690169,7.14,6917584
AR,2007,3,59.5,1065666,7,3560249
AZ,2007,3,54.5,2608968,7.72,5177652
CA,2007,3,54.4,14034194,11.89,20314464
CO,2007,3,40.5,1939305,7.86,3971190
CT,2007,3,35.1,1577029,16.73,2821310
DC,2007,3,46.3,239256,11.49,894891
DE,2007,3,45.2,407351,10.89,1029250
FL,2007,3,66.3,7648917,10.32,16337005
GA,2007,3,60,2721269,7.41,10328602
HI,2007,3,-99,467724,18.72,878672
IA,2007,3,41.8,1111241,6.43,3587890
ID,2007,3,38.9,693981,4.91,1688593
IL,2007,3,48,5092553,8.12,11533737
IN,2007,3,47,2300171,6.31,8742375
KS,2007,3,52.3,1097576,6.51,2886253
KY,2007,3,53.3,1438711,5.47,7432994
LA,2007,3,63.4,1594434,8.3,5794018
MA,2007,3,34,2720558,15.27,4749249
MD,2007,3,44.9,2161788,10.38,5244928
ME,2007,3,25.8,838871,15.5,1025393
MI,2007,3,34.8,4336267,8.59,8600822
MN,2007,3,31.7,1809773,7.1,5393622
MO,2007,3,53,2133629,5.79,6355599
MS,2007,3,61.3,875745,7.72,3565633
MT,2007,3,38.9,448092,7.13,1258835
NC,2007,3,53.8,3437757,7.65,10046546
ND,2007,3,32.6,324087,6.39,1014916
NE,2007,3,45.6,691445,6.11,2243313
NH,2007,3,28.1,681375,14.07,932431
NJ,2007,3,40.9,3805722,11.45,6480389
NM,2007,3,47.6,739954,7.04,1689087
NV,2007,3,45.9,1169040,9.28,2548012
NY,2007,3,30.2,7674851,14.71,11872331
OH,2007,3,43.9,4786443,7.59,13213103
OK,2007,3,58.3,1342660,6.49,4014973
OR,2007,3,43.5,1448552,6.84,4131638
PA,2007,3,37.4,5592978,8.86,13129921
RI,2007,3,36.7,481065,12.62,659538
SC,2007,3,58.5,1630310,6.84,6190500
SD,2007,3,40.2,322995,6.72,870280
TN,2007,3,56.4,2083526,6.9,8364865
TX,2007,3,61.9,7910179,10.1,24998018
UT,2007,3,43,887324,6.03,2044207
VA,2007,3,49.2,3008780,6.89,8631721
VT,2007,3,25.8,307641,12.04,502111
WA,2007,3,41.5,2443166,6.3,7583950
WI,2007,3,34.6,2359026,8.07,5741482
WV,2007,3,46.5,991716,5.17,2836149
WY,2007,3,37.6,259276,5.4,1274216
AK,2007,4,29.9,270488,12.68,526083
AL,2007,4,60,1690608,7.32,6567213
AR,2007,4,57.4,1066137,6.32,3311107
AZ,2007,4,59.3,2596368,7.88,5139916
CA,2007,4,56.3,13763865,11.74,19585631
CO,2007,4,43.3,1941761,7.87,3776422
CT,2007,4,44.8,1577087,16.64,2514365
DC,2007,4,52.2,238667,11.01,875980
DE,2007,4,51,407975,11.01,898005
FL,2007,4,68.4,7659414,10.32,16360061
GA,2007,4,60.9,2723356,7.78,9630406
HI,2007,4,66.3,468098,19.65,824903
IA,2007,4,46.7,1110721,6.53,3371157
ID,2007,4,43,695058,4.65,1666162
IL,2007,4,50.2,5077819,8.05,11001136
IN,2007,4,49.4,2296300,6.52,8216581
KS,2007,4,50.9,1028230,6.65,2860468
KY,2007,4,53.5,1436749,5.75,6992116
LA,2007,4,63.9,1585515,8.55,5736985
MA,2007,4,43.3,2654413,15.04,4244987
MD,2007,4,51.1,2158375,10.46,4753488
ME,2007,4,37,811998,14.24,915907
MI,2007,4,41.8,4332365,8.45,8118264
MN,2007,4,41.2,1810825,7.46,5045626
MO,2007,4,52.3,2131839,5.99,5916024
MS,2007,4,61,876345,8,3415531
MT,2007,4,40.9,448703,6.93,1223059
NC,2007,4,57.3,3443266,7.52,9358710
ND,2007,4,40.7,324464,6.1,949686
NE,2007,4,46.4,683068,5.85,2016995
NH,2007,4,39.2,681730,13.94,855846
NJ,2007,4,48.6,3781517,11.36,5993219
NM,2007,4,51.6,739521,7.19,1688238
NV,2007,4,49.2,1172687,9.26,2443374
NY,2007,4,41.2,7670098,14.73,11041362
OH,2007,4,48.4,4766444,7.73,12108463
OK,2007,4,55.5,1341715,6.86,3855011
OR,2007,4,44.7,1449871,6.79,3759233
PA,2007,4,44.8,5591806,8.98,11628766
RI,2007,4,44.8,481166,13.1,574891
SC,2007,4,60.9,1632529,6.77,5974229
SD,2007,4,42.9,320100,6.71,798162
TN,2007,4,55.2,2084350,7.01,7733164
TX,2007,4,61.7,7897536,10.05,24502029
UT,2007,4,48.3,888437,6.05,1963987
VA,2007,4,53.4,3007341,6.85,8102935
VT,2007,4,38.7,308088,12.03,448141
WA,2007,4,44.9,2429653,6.21,6905711
WI,2007,4,42.8,2376847,8.16,5278173
WV,2007,4,49.6,990523,5.16,2624080
WY,2007,4,40.5,259353,5.14,1248518
AK,2007,5,39.4,271596,12.91,482268
AL,2007,5,71.2,1691928,7.48,7375902
AR,2007,5,71,1069253,6.45,3450736
AZ,2007,5,68.4,2592559,8.8,6385790
CA,2007,5,64.1,14145250,12.24,21178613
CO,2007,5,53.5,1943267,7.88,4004563
CT,2007,5,59.6,1575278,16.53,2661660
DC,2007,5,66.1,238705,11.05,992734
DE,2007,5,64.3,408637,11.05,850658
FL,2007,5,74.9,7675756,10.26,17965101
GA,2007,5,70.5,2726284,7.41,10731021
HI,2007,5,68.1,468621,20.17,897563
IA,2007,5,64.7,1110552,6.57,3540801
ID,2007,5,52,696459,4.64,2004753
IL,2007,5,67.6,5089712,8.26,11681503
IN,2007,5,66.2,2293769,6.51,8517467
KS,2007,5,65.9,1033177,6.89,3116223
KY,2007,5,67.8,1438419,5.64,7275466
LA,2007,5,73.9,1598307,8.75,6081840
MA,2007,5,58.4,2641742,14.32,4428465
MD,2007,5,64.6,2159418,10.69,4880859
ME,2007,5,51.2,813575,14.35,924391
MI,2007,5,57.8,4328978,8.46,8548464
MN,2007,5,58.7,1810854,7.1,5223247
MO,2007,5,68.3,2130305,6.71,6471169
MS,2007,5,72.2,878057,8.13,3640071
MT,2007,5,52.1,450224,7.11,1167879
NC,2007,5,66,3448105,7.56,9958022
ND,2007,5,55.8,325032,6.36,864447
NE,2007,5,62.1,684276,6.09,2148722
NH,2007,5,54.3,683749,13.89,871684
NJ,2007,5,62.8,3798791,11.95,6317904
NM,2007,5,60,740875,7.28,1738654
NV,2007,5,58.8,1173970,9.31,3039217
NY,2007,5,56.2,7664659,15.22,11294645
OH,2007,5,63.9,4767053,7.92,12771364
OK,2007,5,68.9,1343549,7,4229353
OR,2007,5,53.1,1454586,6.71,3729374
PA,2007,5,60.1,5689182,9.21,11535339
RI,2007,5,59,480825,12.6,619536
SC,2007,5,69.1,1635595,6.85,6399262
SD,2007,5,60,324310,6.81,784686
TN,2007,5,68.7,2099370,7.07,7802223
TX,2007,5,71.4,7894143,10.1,26883068
UT,2007,5,57.7,890844,6.42,2268695
VA,2007,5,64.4,3010953,6.97,8501729
VT,2007,5,53.3,308833,12.07,457487
WA,2007,5,52.9,2445441,6.11,6648580
WI,2007,5,59.1,2367264,8.39,5632319
WV,2007,5,62.9,990091,5.22,2596706
WY,2007,5,51.1,259748,5.37,1228039
AK,2007,6,51,272087,13,476178
AL,2007,6,78.8,1695414,7.97,8159604
AR,2007,6,77.1,1075710,6.81,4014591
AZ,2007,6,77.3,2595129,8.84,7211114
CA,2007,6,70.5,13898511,13.66,22041117
CO,2007,6,62.8,1944802,8.22,4311129
CT,2007,6,66.6,1574485,16.51,2871706
DC,2007,6,74,238935,12.14,1086665
DE,2007,6,72.9,409080,11.5,980814
FL,2007,6,80,7663142,10.33,20140005
GA,2007,6,77.7,2730894,8.29,12489768
HI,2007,6,-99,468385,20.8,892637
IA,2007,6,70.4,1110393,7.13,3864067
ID,2007,6,59.6,697425,5.16,2268834
IL,2007,6,72.7,5074907,8.59,12873831
IN,2007,6,72.1,2294876,6.49,9307185
KS,2007,6,72.3,1030993,7.49,3503835
KY,2007,6,73.7,1439952,6.34,7254462
LA,2007,6,80.1,1597698,8.35,7033980
MA,2007,6,65.6,2649663,15.41,4747643
MD,2007,6,72.6,2163532,12.4,5580131
ME,2007,6,61.1,814645,14.03,982951
MI,2007,6,67.1,4409363,8.83,9894436
MN,2007,6,67.2,1810608,8.17,5761750
MO,2007,6,73.4,2133160,7.72,7249347
MS,2007,6,79.2,880493,8.28,4182456
MT,2007,6,60.7,451736,7.21,1218208
NC,2007,6,74.1,3455402,7.71,11407821
ND,2007,6,65.3,325381,6.77,883144
NE,2007,6,69.2,692859,6.77,2339874
NH,2007,6,62.5,685547,13.98,911579
NJ,2007,6,70.6,3803452,14.43,7297539
NM,2007,6,69.8,741478,7.55,1922152
NV,2007,6,67.6,1178415,10.09,3476326
NY,2007,6,65.7,7664409,15.92,12511957
OH,2007,6,70.6,4760654,8.15,13741249
OK,2007,6,74.9,1344641,7.62,4962908
OR,2007,6,58.6,1455315,6.88,3785065
PA,2007,6,67.8,5590521,9.31,12552067
RI,2007,6,66.5,480200,13.2,670795
SC,2007,6,77.2,1638425,7.23,7282388
SD,2007,6,68.2,323319,7.08,828054
TN,2007,6,75.2,2091376,7.12,8852741
TX,2007,6,77.9,7845627,10.41,30251814
UT,2007,6,68.2,890613,6.96,2407648
VA,2007,6,71.9,3013683,7.3,9502027
VT,2007,6,62.9,310602,12.07,474557
WA,2007,6,57.5,2439539,6.16,6378273
WI,2007,6,66.9,2376055,8.83,6059249
WV,2007,6,69.2,989652,5.2,2867494
WY,2007,6,61,260204,5.3,1241429
AK,2007,7,55.5,272653,13.46,492047
AL,2007,7,79.2,1696273,7.8,8825467
AR,2007,7,77.6,1077288,7.41,4450818
AZ,2007,7,82,2597131,9.37,8462077
CA,2007,7,76.9,13994085,14.08,25005524
CO,2007,7,69.7,1946731,7.58,4988141
CT,2007,7,70.9,1575085,16.7,3170940
DC,2007,7,77.3,239791,12.61,1182945
DE,2007,7,76.1,408845,11.75,1086899
FL,2007,7,82.4,7588907,10.4,22421339
GA,2007,7,78.9,2735035,8.31,13231046
HI,2007,7,70.4,468724,21.72,926897
IA,2007,7,73.7,1110610,7.7,4330925
ID,2007,7,72,698149,5.28,2557883
IL,2007,7,73.3,5098837,8.56,13677722
IN,2007,7,71.9,2293790,6.72,9680522
KS,2007,7,78,1035809,7.59,4008593
KY,2007,7,74.6,1440662,6.37,7772758
LA,2007,7,80.2,1592756,8.66,7520143
MA,2007,7,70.1,2652334,15.15,5201079
MD,2007,7,75.4,2153290,12.62,6136372
ME,2007,7,64.6,818745,14.25,1025518
MI,2007,7,68,4405552,8.76,10002112
MN,2007,7,70.6,1810065,8.27,6507237
MO,2007,7,75.9,2136296,7.81,8181600
MS,2007,7,79.1,880365,8.21,4615240
MT,2007,7,73.3,452637,7.32,1376639
NC,2007,7,75.8,3461129,8.22,12384988
ND,2007,7,73.1,325946,6.91,988990
NE,2007,7,76.1,693720,7.16,2785352
NH,2007,7,65.6,687470,14.11,994076
NJ,2007,7,73.7,3798915,15.09,8051207
NM,2007,7,73.3,742760,7.61,2157081
NV,2007,7,76.9,1180272,11.08,4197139
NY,2007,7,66.7,7673965,15.98,13993053
OH,2007,7,70.6,4763378,8.44,14218343
OK,2007,7,78.7,1345685,7.9,5520603
OR,2007,7,69.6,1456137,7.13,4028925
PA,2007,7,68.8,5596920,9.5,13271675
RI,2007,7,71.6,479630,13.37,735079
SC,2007,7,78.5,1640669,7.52,7820079
SD,2007,7,76.5,323575,7.24,968373
TN,2007,7,76.2,2094641,7.11,9872443
TX,2007,7,79,7914607,10.37,32679289
UT,2007,7,76.2,892429,7.18,2890938
VA,2007,7,73.8,3018271,7.43,10358394
VT,2007,7,64.6,309958,12.04,504956
WA,2007,7,68.1,2438576,6.47,6735192
WI,2007,7,69.5,2375922,8.86,6601805
WV,2007,7,69.7,987869,5.42,2743482
WY,2007,7,70.7,260960,5.34,1302370
AK,2007,8,53.2,273153,13.44,510676
AL,2007,8,84.4,1702153,8.45,9505243
AR,2007,8,83.7,1081283,7.5,4838387
AZ,2007,8,80.5,2600990,9.3,8540643
CA,2007,8,76.1,14145388,13.99,25919908
CO,2007,8,68.8,1951177,7.45,4989533
CT,2007,8,70.3,1579266,16.14,3323599
DC,2007,8,78.7,239401,12.76,1183885
DE,2007,8,76.6,408391,11.88,1142590
FL,2007,8,83.7,7790032,10.43,23677372
GA,2007,8,83.2,2740372,9.13,14765144
HI,2007,8,69.7,470235,22.39,948213
IA,2007,8,74.2,1111912,7.71,4484557
ID,2007,8,65.4,700492,5.49,2294606
IL,2007,8,78.2,5076020,8.9,14587244
IN,2007,8,76.9,2293795,6.83,10639175
KS,2007,8,81.5,1032515,7.38,4473683
KY,2007,8,80.9,1442792,6.39,8508861
LA,2007,8,84.1,1601118,8.62,7947877
MA,2007,8,69.4,2649970,15.32,5465428
MD,2007,8,76.3,2154143,12.69,6436342
ME,2007,8,63.5,818943,14.34,1064726
MI,2007,8,68.8,4403598,9.03,10708773
MN,2007,8,66.5,1813985,7.87,6474460
MO,2007,8,81.3,2139079,7.85,9118872
MS,2007,8,84.2,882939,8.44,4870495
MT,2007,8,65.8,454181,7.3,1417516
NC,2007,8,80.6,3467751,8.18,13780121
ND,2007,8,66,326445,6.76,966379
NE,2007,8,75.6,694228,7.03,2816424
NH,2007,8,65.6,689900,14.1,1037531
NJ,2007,8,73.4,3798890,15.29,8355884
NM,2007,8,73.7,743980,7.77,2198998
NV,2007,8,72.9,1183181,10.69,3852678
NY,2007,8,67.8,7676064,16.33,14038983
OH,2007,8,75,4765052,8.44,15837250
OK,2007,8,82.6,1348575,8.04,6079036
OR,2007,8,64.8,1457313,7.06,4082970
PA,2007,8,70.6,5611873,9.39,14020374
RI,2007,8,71,479334,12.43,850237
SC,2007,8,84,1643460,7.62,8485224
SD,2007,8,71.4,324483,7.19,987920
TN,2007,8,82.6,2102136,7.13,10448900
TX,2007,8,81.8,7924912,10.28,35330836
UT,2007,8,72.8,895093,6.91,2780520
VA,2007,8,77.5,3024285,7.55,11076073
VT,2007,8,64.6,310534,12.12,510318
WA,2007,8,63.3,2462975,6.21,6772444
WI,2007,8,68.4,2374120,8.85,6726523
WV,2007,8,75,991936,5.61,3158749
WY,2007,8,66.4,261418,5.29,1332647
AK,2007,9,43.5,273480,13.18,496463
AL,2007,9,76,1702108,7.71,8604495
AR,2007,9,74.1,1075618,7.32,4626909
AZ,2007,9,73.8,2606558,9.12,8019524
CA,2007,9,67.5,13817027,13.85,24974681
CO,2007,9,59.7,1948221,7.6,4419940
CT,2007,9,64.6,1584183,16,2736996
DC,2007,9,71.2,239184,12.3,1032513
DE,2007,9,70,409532,11.7,1107939
FL,2007,9,80.5,7608580,10.4,23214150
GA,2007,9,75.8,2739647,8.14,12850472
HI,2007,9,69.3,469924,20.86,910458
IA,2007,9,64.7,1112343,7.17,3748838
ID,2007,9,54.9,702268,5.37,1833667
IL,2007,9,69.8,5099844,8.66,12249862
IN,2007,9,69,2296523,6.8,9363617
KS,2007,9,70.5,1032125,7.01,3574855
KY,2007,9,71.9,1442427,5.8,8079931
LA,2007,9,78.6,1600103,8.25,7921552
MA,2007,9,63.3,2651059,15.45,4737142
MD,2007,9,69.6,2157637,12.28,5455987
ME,2007,9,57.2,816521,14.47,940244
MI,2007,9,61.8,4402661,8.19,9017849
MN,2007,9,59.2,1812565,7.34,5950292
MO,2007,9,70.5,2140324,6.78,7903734
MS,2007,9,76.7,881460,8.14,4810668
MT,2007,9,55,454249,7.25,1206362
NC,2007,9,72.4,3472936,8.22,12196816
ND,2007,9,58.1,326743,6.86,883794
NE,2007,9,64.7,694892,6.93,2318789
NH,2007,9,59,689042,13.61,926809
NJ,2007,9,68,3866462,14.28,7049993
NM,2007,9,67,744832,7.52,2029181
NV,2007,9,61.4,1186949,10.62,3331943
NY,2007,9,62,7666195,15.51,13258709
OH,2007,9,67.4,4721825,8.07,13483285
OK,2007,9,74.1,1348001,8.02,4927323
OR,2007,9,56.6,1458842,7.19,3746653
PA,2007,9,64.4,5611087,9.15,12562637
RI,2007,9,65,479095,14.46,632726
SC,2007,9,75.7,1645073,7.48,7486891
SD,2007,9,62.6,324391,7.25,852788
TN,2007,9,73,2100444,6.98,10664872
TX,2007,9,77.1,7908387,10.3,33193019
UT,2007,9,61.7,897173,6.91,2295146
VA,2007,9,69.4,3026053,7.39,9339616
VT,2007,9,58.8,310866,12.05,467318
WA,2007,9,56.7,2430173,6.37,6275091
WI,2007,9,61.1,2377871,8.63,5993388
WV,2007,9,67.2,993072,5.46,2578782
WY,2007,9,55.6,261747,5.3,1239860
AK,2007,10,25.3,273755,14.2,495542
AL,2007,10,66.5,1702081,7.58,7407428
AR,2007,10,64,1079814,6.88,3954109
AZ,2007,10,62.4,2613733,8.93,6302185
CA,2007,10,58.6,14393753,12.61,22667368
CO,2007,10,48.3,1952068,7.91,4176556
CT,2007,10,57.8,1585193,15.97,2742470
DC,2007,10,63.6,240553,12.42,975821
DE,2007,10,64.1,409564,11.59,919366
FL,2007,10,76.2,7680341,10.42,20563468
GA,2007,10,67.8,2738319,7.51,11084967
HI,2007,10,68.4,470655,23.11,927130
IA,2007,10,55.9,1113002,6.57,3725636
ID,2007,10,43.1,702885,5.18,1718336
IL,2007,10,59.9,5106347,8.67,11243728
IN,2007,10,60.2,2292019,6.58,8862154
KS,2007,10,59.1,1029245,6.67,3065986
KY,2007,10,62.4,1442621,5.63,7699066
LA,2007,10,69.1,1606678,8.6,6961536
MA,2007,10,56,2651077,14.88,4616246
MD,2007,10,63.3,2160520,12.12,5007359
ME,2007,10,49.6,817852,14.45,958278
MI,2007,10,54.4,4401852,8.16,9003410
MN,2007,10,49.4,1816876,7.08,5617678
MO,2007,10,60,2138390,5.95,6545282
MS,2007,10,66.5,882795,8.06,4119030
MT,2007,10,44.6,454780,7.37,1203105
NC,2007,10,65.4,3477624,8.06,10642248
ND,2007,10,46.3,327367,6.63,921051
NE,2007,10,53.6,686969,6.26,2116693
NH,2007,10,51.4,689639,14.06,874774
NJ,2007,10,62.1,3795369,12.56,6632650
NM,2007,10,56.5,746189,7.65,1783578
NV,2007,10,49.9,1180775,10.06,2551906
NY,2007,10,54.9,7669568,15.26,12187344
OH,2007,10,59.9,4752500,7.77,12984080
OK,2007,10,64.1,1350033,7.66,4326697
OR,2007,10,46.2,1461413,7.25,3722606
PA,2007,10,57.8,5610993,9.05,11929842
RI,2007,10,58,478689,13.15,656062
SC,2007,10,68.4,1647067,7.14,6596083
SD,2007,10,50.2,322518,7.08,799042
TN,2007,10,63.2,2100795,7.26,8805065
TX,2007,10,68.6,7935269,10.14,30043795
UT,2007,10,48.9,897880,6.53,2071599
VA,2007,10,62.5,3027162,7.1,8736744
VT,2007,10,51.1,311027,12.13,464531
WA,2007,10,45.6,2467668,6.51,6542025
WI,2007,10,52.6,2376236,8.37,5897537
WV,2007,10,59.4,993835,5.43,2658808
WY,2007,10,44.2,263364,5.47,1274653
AK,2007,11,19.8,272901,13.27,541155
AL,2007,11,53.6,1703556,7.35,6607394
AR,2007,11,52.5,1074234,6.91,3484287
AZ,2007,11,55.3,2623771,8.03,5371814
CA,2007,11,53.3,13768278,12.29,20225215
CO,2007,11,38,1951847,7.78,4088741
CT,2007,11,39.9,1588834,15.99,2712602
DC,2007,11,46.1,240986,11.74,909065
DE,2007,11,46.4,408941,11.46,911001
FL,2007,11,64.8,7756902,10.4,17878369
GA,2007,11,54,2739549,7.41,9809007
HI,2007,11,68.3,470694,23.67,866369
IA,2007,11,37.2,1114369,6.28,3522633
ID,2007,11,33.5,705178,5.25,1783715
IL,2007,11,42.2,5081546,8.56,11233756
IN,2007,11,41.9,2302970,6.65,8366123
KS,2007,11,44.1,1033961,6.4,3023804
KY,2007,11,46,1443806,5.71,7438404
LA,2007,11,59.7,1609479,7.81,5981197
MA,2007,11,38.7,2650361,14.62,4385580
MD,2007,11,45.6,2161467,11.66,4815622
ME,2007,11,31.7,816951,14.94,941698
MI,2007,11,35.2,4403835,8.3,8825239
MN,2007,11,30.4,1817006,7.06,5296123
MO,2007,11,45.2,2138652,5.99,6229224
MS,2007,11,55.1,881596,7.95,3623835
MT,2007,11,31.6,455218,6.96,1234503
NC,2007,11,49.5,3482018,7.77,9730599
ND,2007,11,29.2,327607,6.5,1008112
NE,2007,11,39.5,686762,5.79,2190041
NH,2007,11,33.5,686723,13.64,891692
NJ,2007,11,43.5,3804171,12.43,6171967
NM,2007,11,46.1,746930,7.55,1724201
NV,2007,11,42.3,1180821,9.38,2456220
NY,2007,11,35.9,7672342,14.71,11494562
OH,2007,11,42,4765552,7.79,12235700
OK,2007,11,50.9,1350241,7.2,4050538
OR,2007,11,39.1,1461020,7.33,3942895
PA,2007,11,39.5,5611892,8.98,11805654
RI,2007,11,41.1,478915,13.47,620004
SC,2007,11,53.6,1648603,7.07,6065333
SD,2007,11,34.9,326230,6.9,829623
TN,2007,11,48.2,2100199,7.23,7912582
TX,2007,11,57.6,7916231,9.74,25475185
UT,2007,11,40.6,899033,5.83,2189957
VA,2007,11,46.2,3032537,7.08,8337665
VT,2007,11,32.4,310537,12.15,468511
WA,2007,11,36.4,2444186,6.59,6998131
WI,2007,11,32.8,2384556,8.38,5503645
WV,2007,11,42.9,994871,5.52,2806580
WY,2007,11,33.1,263169,5.18,1283434
AK,2007,12,8,272708,14.37,586929
AL,2007,12,51.6,1704106,7.31,7149017
AR,2007,12,44,1073131,6.79,3658382
AZ,2007,12,39.9,2633712,7.92,5663934
CA,2007,12,41.2,13907186,11.97,21024751
CO,2007,12,22.4,1952997,7.6,4287654
CT,2007,12,30.2,1585523,16.09,3017888
DC,2007,12,38.4,241280,11.76,1027542
DE,2007,12,39.1,407697,11.46,936709
FL,2007,12,64.4,7685871,10.23,17441545
GA,2007,12,52.9,2741454,7.45,10525530
HI,2007,12,67.1,471658,25.2,875144
IA,2007,12,20.3,1115950,6.42,3759396
ID,2007,12,23.4,706463,5.2,2053887
IL,2007,12,30.2,5119276,8.45,12148127
IN,2007,12,32.6,2311068,6.38,9248794
KS,2007,12,29.3,1032644,6.25,3270802
KY,2007,12,40.7,1444621,5.83,8112993
LA,2007,12,55.4,1606048,8.3,5926891
MA,2007,12,28.4,2668351,14.49,5008716
MD,2007,12,38.1,2165182,11.94,5643111
ME,2007,12,18,817927,15.53,1047944
MI,2007,12,24.1,4324484,8.38,9001598
MN,2007,12,11.7,1817490,7.44,5772379
MO,2007,12,33.2,2144559,5.91,7262156
MS,2007,12,51.9,882890,7.91,3694387
MT,2007,12,21.6,455802,7.27,1418124
NC,2007,12,47.5,3485706,7.79,10335574
ND,2007,12,12.7,327751,6.36,1184765
NE,2007,12,22,689453,5.8,2489968
NH,2007,12,21.6,683701,13.97,991613
NJ,2007,12,35.6,3808232,12.75,6702760
NM,2007,12,35,748343,7.57,1806045
NV,2007,12,29.2,1188460,9.87,2786674
NY,2007,12,25.9,7692912,15.08,12262667
OH,2007,12,33.1,4762577,7.68,13793673
OK,2007,12,38.2,1353496,6.94,4420337
