State,Year,Month,Count,Megawatthours
AK,2014,11,-400,25338
AK,2014,12,-174,45681
AK,2015,1,-6022,6483
AK,2015,2,-9,-33690
AK,2015,3,915,-11404
AK,2015,4,804,-39086
AK,2015,5,293,-25397
AK,2015,6,731,-14223
AK,2015,7,582,16136
AK,2015,8,476,16376
AK,2015,9,573,-8329
AK,2015,10,252,21450
AK,2015,11,-1218,22794
AK,2015,12,304,61536
AK,2016,1,-656,-10871
AK,2016,2,185,-42332
AK,2016,3,1227,-7931
AK,2016,4,104,-46659
AK,2016,5,744,-11384
AK,2016,6,939,-6649
AK,2016,7,-218,10918
AK,2016,8,1015,21131
AK,2016,9,505,-23906
AK,2016,10,-235,35996
AK,2016,11,-275,27980
AK,2016,12,-111,61227
AK,2017,1,993,12588
AK,2017,2,24,-53297
AK,2017,3,777,2872
AK,2017,4,46,-53322
AK,2017,5,980,-32361
AK,2017,6,962,-13553
AK,2017,7,-66,18321
AK,2017,8,1185,9425
AK,2017,9,-391,-12587
AK,2017,10,455,21267
AL,2007,2,3280,-174202
AL,2007,3,1574,-349873
AL,2007,4,439,-350371
AL,2007,5,1320,808689
AL,2007,6,3486,783702
AL,2007,7,859,665863
AL,2007,8,5880,679776
AL,2007,9,-45,-900748
AL,2007,10,-27,-1197067
AL,2007,11,1475,-800034
AL,2007,12,550,541623
AL,2008,1,777472,810016
AL,2008,2,2817,-656747
AL,2008,3,430,-325960
AL,2008,4,1117,-360214
AL,2008,5,2305,545350
AL,2008,6,2340,1176834
AL,2008,7,3162,519649
AL,2008,8,4424,-153901
AL,2008,9,-1580,-782088
AL,2008,10,-307,-1176162
AL,2008,11,-253,-433518
AL,2008,12,1324,499473
AL,2009,1,-7157,341844
AL,2009,2,1396,-615498
AL,2009,3,-1010,-397993
AL,2009,4,-438,-354729
AL,2009,5,-616,731619
AL,2009,6,2380,764400
AL,2009,7,-672,1156511
AL,2009,8,420,-372871
AL,2009,9,-118,-642379
AL,2009,10,-700,-1025660
AL,2009,11,471,-255320
AL,2009,12,1835,823127
AL,2010,1,-7188,1121722
AL,2010,2,2755,-659032
AL,2010,3,1894,-504383
AL,2010,4,-1099,-683639
AL,2010,5,687,694219
AL,2010,6,16741,1297232
AL,2010,7,10361,801426
AL,2010,8,-2481,121839
AL,2010,9,-1544,-984993
AL,2010,10,650,-1535748
AL,2010,11,-1786,-416205
AL,2010,12,-10214,1597814
AL,2011,1,-581,331951
AL,2011,2,1131,-1110029
AL,2011,3,1481,-300631
AL,2011,4,998,-340473
AL,2011,5,-19454,436458
AL,2011,6,23491,1516444
AL,2011,7,-1231,458942
AL,2011,8,4512,418408
AL,2011,9,-1871,-1591357
AL,2011,10,-545,-1173722
AL,2011,11,-5287,-101045
AL,2011,12,5666,648441
AL,2012,1,-5732,141340
AL,2012,2,3641,-562379
AL,2012,3,3127,-26278
AL,2012,4,1339,-118411
AL,2012,5,2336,811662
AL,2012,6,1872,474371
AL,2012,7,-100,939065
AL,2012,8,4330,-277666
AL,2012,9,-1917,-889551
AL,2012,10,917,-935310
AL,2012,11,401,-105773
AL,2012,12,355,415574
AL,2013,1,-3573,438775
AL,2013,2,1290,-589679
AL,2013,3,-4291,232875
AL,2013,4,9487,-477887
AL,2013,5,-558,393983
AL,2013,6,-5158,975649
AL,2013,7,8886,411700
AL,2013,8,619,189760
AL,2013,9,3004,-653857
AL,2013,10,1095,-812943
AL,2013,11,-1091,-239403
AL,2013,12,3216,677170
AL,2014,1,-9788,1142247
AL,2014,2,1634,-1241298
AL,2014,3,2026,-248279
AL,2014,4,-718,-685499
AL,2014,5,901,652059
AL,2014,6,6819,867006
AL,2014,7,9163,534731
AL,2014,8,3722,172792
AL,2014,9,-620,-527038
AL,2014,10,2050,-1120282
AL,2014,11,-303,-208518
AL,2014,12,4402,566787
AL,2015,1,-9933,683707
AL,2015,2,-4872,-575117
AL,2015,3,10323,-424025
AL,2015,4,267,-651938
AL,2015,5,1058,651049
AL,2015,6,2722,1072246
AL,2015,7,3869,821128
AL,2015,8,634,-153694
AL,2015,9,1546,-1087738
AL,2015,10,226,-956189
AL,2015,11,-175,-430830
AL,2015,12,3403,372599
AL,2016,1,-970,1041327
AL,2016,2,4887,-720442
AL,2016,3,2614,-531170
AL,2016,4,892,-242566
AL,2016,5,3387,710113
AL,2016,6,3547,1109445
AL,2016,7,-3455,809702
AL,2016,8,8934,41960
AL,2016,9,-999,-762842
AL,2016,10,696,-1231811
AL,2016,11,-244,-555838
AL,2016,12,3436,726734
AL,2017,1,18999,160033
AL,2017,2,-2439,-1057020
AL,2017,3,9357,467914
AL,2017,4,-8177,-116912
AL,2017,5,11032,477846
AL,2017,6,3698,578273
AL,2017,7,3787,1012242
AL,2017,8,2972,-12554
AL,2017,9,-12005,-1173082
AL,2017,10,11675,-438399
AR,2007,2,-1489,22845
AR,2007,3,1822,-303831
AR,2007,4,471,-249142
AR,2007,5,3116,139629
AR,2007,6,6457,563855
AR,2007,7,1578,436227
AR,2007,8,3995,387569
AR,2007,9,-5665,-211478
AR,2007,10,4196,-672800
AR,2007,11,-5580,-469822
AR,2007,12,-1103,174095
AR,2008,1,434659,340342
AR,2008,2,230,-90570
AR,2008,3,664,-273303
AR,2008,4,1882,-271016
AR,2008,5,1634,102700
AR,2008,6,6219,621345
AR,2008,7,5837,457724
AR,2008,8,1500,168353
AR,2008,9,-976,-656839
AR,2008,10,-2019,-539520
AR,2008,11,-4809,-262939
AR,2008,12,-524,331107
AR,2009,1,-795,187081
AR,2009,2,-3047,-289554
AR,2009,3,5599,-211409
AR,2009,4,-130,-263674
AR,2009,5,604,82526
AR,2009,6,7316,591611
AR,2009,7,5116,760595
AR,2009,8,805,-109810
AR,2009,9,-421,-436177
AR,2009,10,-3044,-490376
AR,2009,11,-3944,-243583
AR,2009,12,227,458187
AR,2010,1,-5990,631009
AR,2010,2,-153,-307337
AR,2010,3,3976,-301528
AR,2010,4,-259,-346038
AR,2010,5,1002,149480
AR,2010,6,17607,806267
AR,2010,7,8514,614678
AR,2010,8,-1907,233377
AR,2010,9,-1608,-538949
AR,2010,10,-4718,-827172
AR,2010,11,-3656,-408843
AR,2010,12,-6923,438644
AR,2011,1,2224,469171
AR,2011,2,-1409,-258985
AR,2011,3,3654,-462224
AR,2011,4,-2111,-97226
AR,2011,5,525,51529
AR,2011,6,10953,833084
AR,2011,7,3313,660006
AR,2011,8,3805,187087
AR,2011,9,-1368,-812563
AR,2011,10,-4533,-699278
AR,2011,11,-6542,-309390
AR,2011,12,513,294209
AR,2012,1,-2165,290489
AR,2012,2,146,-245324
AR,2012,3,709,-170989
AR,2012,4,1579,-139095
AR,2012,5,6762,237439
AR,2012,6,5643,609200
AR,2012,7,2766,632888
AR,2012,8,1484,151121
AR,2012,9,-3523,-655802
AR,2012,10,-1001,-696292
AR,2012,11,-5182,-276604
AR,2012,12,265,140161
AR,2013,1,-834,463528
AR,2013,2,1074,-257327
AR,2013,3,-448,-4898
AR,2013,4,1879,-212623
AR,2013,5,2945,-139392
AR,2013,6,4692,525418
AR,2013,7,7016,651929
AR,2013,8,1932,57176
AR,2013,9,-652,-159235
AR,2013,10,-1417,-578054
AR,2013,11,-2638,-476625
AR,2013,12,320,509396
AR,2014,1,-42439,377964
AR,2014,2,-423,-147095
AR,2014,3,-2462,-320036
AR,2014,4,845,-444766
AR,2014,5,314,-83848
AR,2014,6,73741,602650
AR,2014,7,11414,515369
AR,2014,8,1051,170236
AR,2014,9,762,-63669
AR,2014,10,-1693,-720578
AR,2014,11,-2716,-262292
AR,2014,12,660,295755
AR,2015,1,-27830,285353
AR,2015,2,-4025,-227113
AR,2015,3,6047,116114
AR,2015,4,-3511,-734434
AR,2015,5,1650,72950
AR,2015,6,8356,592130
AR,2015,7,5561,758135
AR,2015,8,1867,198589
AR,2015,9,-358,-603830
AR,2015,10,-2172,-558981
AR,2015,11,-3334,-483515
AR,2015,12,13,220564
AR,2016,1,2105,466184
AR,2016,2,3306,-153416
AR,2016,3,-2505,-321724
AR,2016,4,-1133,-203345
AR,2016,5,4934,70496
AR,2016,6,7867,572351
AR,2016,7,3855,963289
AR,2016,8,5010,-84825
AR,2016,9,-3157,-392343
AR,2016,10,-1919,-529650
AR,2016,11,-2762,-416500
AR,2016,12,1031,206503
AR,2017,1,1370,348646
AR,2017,2,-3621,-498863
AR,2017,3,4939,-15952
AR,2017,4,-4136,-130672
AR,2017,5,6517,127150
AR,2017,6,7198,559341
AR,2017,7,5581,469447
AR,2017,8,942,187637
AR,2017,9,-2558,-524958
AR,2017,10,3384,-219306
AZ,2007,2,5459,-782743
AZ,2007,3,5542,109745
AZ,2007,4,-12600,-37736
AZ,2007,5,-3809,1245874
AZ,2007,6,2570,825324
AZ,2007,7,2002,1250963
AZ,2007,8,3859,78566
AZ,2007,9,5568,-521119
AZ,2007,10,7175,-1717339
AZ,2007,11,10038,-930371
AZ,2007,12,9941,292120
AZ,2008,1,207263,147397
AZ,2008,2,-1660,-384767
AZ,2008,3,2195,-195698
AZ,2008,4,-11201,-60209
AZ,2008,5,-4601,741373
AZ,2008,6,25,1287464
AZ,2008,7,-376,1200831
AZ,2008,8,93,91884
AZ,2008,9,1384,-868362
AZ,2008,10,6550,-1322051
AZ,2008,11,8604,-1040528
AZ,2008,12,10221,176262
AZ,2009,1,6407,23643
AZ,2009,2,3288,-637318
AZ,2009,3,-201,180942
AZ,2009,4,-10894,-123783
AZ,2009,5,-6799,1472213
AZ,2009,6,-3874,255027
AZ,2009,7,1787,1695549
AZ,2009,8,-2898,33815
AZ,2009,9,1243,-910865
AZ,2009,10,7985,-1590512
AZ,2009,11,8266,-781440
AZ,2009,12,13682,286591
AZ,2010,1,-4407,72628
AZ,2010,2,4830,-610987
AZ,2010,3,3475,210285
AZ,2010,4,-10442,-52416
AZ,2010,5,-8151,644561
AZ,2010,6,-2639,1431071
AZ,2010,7,715,1445154
AZ,2010,8,-2638,-390397
AZ,2010,9,-313,-681787
AZ,2010,10,8745,-1612462
AZ,2010,11,7563,-815469
AZ,2010,12,11328,257090
AZ,2011,1,11299,387518
AZ,2011,2,6959,-475422
AZ,2011,3,1565,-148783
AZ,2011,4,-15212,224980
AZ,2011,5,-3980,543473
AZ,2011,6,-2071,1287440
AZ,2011,7,28,1264782
AZ,2011,8,1130,485144
AZ,2011,9,4037,-1394770
AZ,2011,10,5353,-1524853
AZ,2011,11,9981,-945645
AZ,2011,12,15876,792778
AZ,2012,1,-9991,-360792
AZ,2012,2,5279,-422810
AZ,2012,3,-5167,104091
AZ,2012,4,-12495,295239
AZ,2012,5,-7195,1100011
AZ,2012,6,118,1129165
AZ,2012,7,-1254,501779
AZ,2012,8,7969,475983
AZ,2012,9,4191,-1377480
AZ,2012,10,8408,-1247127
AZ,2012,11,10904,-890312
AZ,2012,12,11267,459129
AZ,2013,1,20431,360161
AZ,2013,2,1559,-826321
AZ,2013,3,7052,88972
AZ,2013,4,-15513,189472
AZ,2013,5,-5539,1110057
AZ,2013,6,-2401,1328612
AZ,2013,7,10219,795194
AZ,2013,8,-75,-249401
AZ,2013,9,2544,-1113579
AZ,2013,10,8076,-1675554
AZ,2013,11,9728,-475731
AZ,2013,12,14741,536038
AZ,2014,1,7517,-20682
AZ,2014,2,1213,-774319
AZ,2014,3,613,308088
AZ,2014,4,-11028,223795
AZ,2014,5,-7619,1082138
AZ,2014,6,-174,1349821
AZ,2014,7,6912,970974
AZ,2014,8,2487,-508325
AZ,2014,9,1085,-652658
AZ,2014,10,9880,-1336269
AZ,2014,11,9698,-1031288
AZ,2014,12,10843,419076
AZ,2015,1,6115,115765
AZ,2015,2,2826,-999373
AZ,2015,3,-1502,631622
AZ,2015,4,-12724,-18787
AZ,2015,5,-3957,575868
AZ,2015,6,-529,1875318
AZ,2015,7,4357,737675
AZ,2015,8,137,373421
AZ,2015,9,6861,-1272758
AZ,2015,10,8283,-1272455
AZ,2015,11,10125,-1125190
AZ,2015,12,11743,732230
AZ,2016,1,20922,-36259
AZ,2016,2,-8607,-718256
AZ,2016,3,-1022,127655
AZ,2016,4,-10814,73386
AZ,2016,5,-2918,859416
AZ,2016,6,1104,1963529
AZ,2016,7,5038,896377
AZ,2016,8,142,-596929
AZ,2016,9,10182,-1433277
AZ,2016,10,4359,-720423
AZ,2016,11,10559,-1095661
AZ,2016,12,11974,263324
AZ,2017,1,-2638,114638
AZ,2017,2,923,-810021
AZ,2017,3,2495,562239
AZ,2017,4,-12029,119608
AZ,2017,5,-1472,888094
AZ,2017,6,3530,1734856
AZ,2017,7,641,719895
AZ,2017,8,6174,-222125
AZ,2017,9,-23259,-1247727
AZ,2017,10,35741,-1227805
CA,2007,2,-777973,-2962525
CA,2007,3,725009,1146907
CA,2007,4,-270329,-728833
CA,2007,5,381385,1592982
CA,2007,6,-246739,862504
CA,2007,7,95574,2964407
CA,2007,8,151303,914384
CA,2007,9,-328361,-945227
CA,2007,10,576726,-2307313
CA,2007,11,-625475,-2442153
CA,2007,12,138908,799536
CA,2008,1,1349632,1595170
CA,2008,2,-835335,-2649629
CA,2008,3,318104,-43139
CA,2008,4,-15935,438539
CA,2008,5,-1555,576459
CA,2008,6,54931,1362324
CA,2008,7,253488,3983994
CA,2008,8,-185735,-1480622
CA,2008,9,-86994,774647
CA,2008,10,533119,-2060704
CA,2008,11,-1190692,-4144608
CA,2008,12,1156399,3070571
CA,2009,1,-710032,-1500152
CA,2009,2,-275416,-1855249
CA,2009,3,525788,783388
CA,2009,4,179251,108092
CA,2009,5,-382085,-112005
CA,2009,6,404094,2156223
CA,2009,7,47774,2386155
CA,2009,8,-229611,267286
CA,2009,9,-14534,181448
CA,2009,10,234712,-2139044
CA,2009,11,-732873,-3564832
CA,2009,12,982709,2783616
CA,2010,1,-860982,-1686638
CA,2010,2,-97134,-1218001
CA,2010,3,667504,1823082
CA,2010,4,118716,-605578
CA,2010,5,-377236,-1237894
CA,2010,6,4344,3018951
CA,2010,7,148290,1579710
CA,2010,8,38037,917371
CA,2010,9,-19247,-537739
CA,2010,10,147892,-1489733
CA,2010,11,-526810,-2391665
CA,2010,12,867183,2184658
CA,2011,1,-982062,-1289038
CA,2011,2,-77744,-1871514
CA,2011,3,1069111,2376698
CA,2011,4,-786807,-2105009
CA,2011,5,287598,780665
CA,2011,6,255147,1597558
CA,2011,7,-307585,1566454
CA,2011,8,417622,2715611
CA,2011,9,-318319,-929063
CA,2011,10,-25332,-3068798
CA,2011,11,-229551,-1633289
CA,2011,12,477688,1368694
CA,2012,1,-221446,-920626
CA,2012,2,-230561,-1837168
CA,2012,3,512180,1127448
CA,2012,4,-494068,-1230186
CA,2012,5,512347,1653561
CA,2012,6,-246514,1414025
CA,2012,7,20548,1318779
CA,2012,8,509642,2898370
CA,2012,9,-804479,-2114519
CA,2012,10,598549,-301117
CA,2012,11,-544414,-3793178
CA,2012,12,-10083,310124
CA,2013,1,543985,1693603
CA,2013,2,-782208,-2814763
CA,2013,3,753704,614332
CA,2013,4,-405834,-438165
CA,2013,5,478251,1938812
CA,2013,6,-322888,653774
CA,2013,7,150222,3653737
CA,2013,8,204199,-487597
CA,2013,9,-635641,-850181
CA,2013,10,875167,-2145429
CA,2013,11,-1130160,-3158052
CA,2013,12,830740,2349326
CA,2014,1,-277873,-309074
CA,2014,2,-536893,-2306009
CA,2014,3,550294,266259
CA,2014,4,10601,852751
CA,2014,5,-926,865600
CA,2014,6,24634,1917048
CA,2014,7,266672,3005923
CA,2014,8,-353946,-356260
CA,2014,9,-43433,255580
CA,2014,10,675758,-1330761
CA,2014,11,-1109897,-5536719
CA,2014,12,908143,2650467
CA,2015,1,-312300,-881222
CA,2015,2,-509319,-2211440
CA,2015,3,797538,1679610
CA,2015,4,-267290,114713
CA,2015,5,-34084,-577959
CA,2015,6,131311,2649810
CA,2015,7,464001,3099959
CA,2015,8,-756746,-639177
CA,2015,9,260099,992474
CA,2015,10,256892,-1215331
CA,2015,11,-782859,-4445139
CA,2015,12,1048544,1665288
CA,2016,1,-580682,-1432673
CA,2016,2,-384103,-1519957
CA,2016,3,993715,1628051
CA,2016,4,-780320,-1077093
CA,2016,5,283805,242373
CA,2016,6,272377,2968080
CA,2016,7,-318445,1541542
CA,2016,8,153989,3116230
CA,2016,9,-73501,-2825835
CA,2016,10,-1452,-2782377
CA,2016,11,-263171,-1666485
CA,2016,12,537144,1015384
CA,2017,1,-259056,-323179
CA,2017,2,-534464,-2186018
CA,2017,3,1071714,1696437
CA,2017,4,-880673,-2070092
CA,2017,5,439163,1966955
CA,2017,6,201989,2394491
CA,2017,7,-536031,2108459
CA,2017,8,581865,2463206
CA,2017,9,-528763,-2046397
CA,2017,10,529367,-3052728
CO,2007,2,2033,-555527
CO,2007,3,2549,106310
CO,2007,4,2456,-194768
CO,2007,5,1506,228141
CO,2007,6,1535,306566
CO,2007,7,1929,677012
CO,2007,8,4446,1392
CO,2007,9,-2956,-569593
CO,2007,10,3847,-243384
CO,2007,11,-221,-87815
CO,2007,12,1150,198913
CO,2008,1,584015,175513
CO,2008,2,-1817,-321030
CO,2008,3,3032,-2663
CO,2008,4,1362,-199271
CO,2008,5,1790,174751
CO,2008,6,1035,279355
CO,2008,7,32691,733772
CO,2008,8,-27787,-264570
CO,2008,9,623,-562701
CO,2008,10,2658,-153868
CO,2008,11,-950,-32668
CO,2008,12,4230,280339
CO,2009,1,-84198,-70408
CO,2009,2,767,-395160
CO,2009,3,3319,86420
CO,2009,4,182,-96147
CO,2009,5,-278,127641
CO,2009,6,2383,25936
CO,2009,7,-227,674014
CO,2009,8,2310,123544
CO,2009,9,-1478,-455248
CO,2009,10,3080,-237679
CO,2009,11,-198,-129618
CO,2009,12,2656,422111
CO,2010,1,2613,7773
CO,2010,2,2128,-427417
CO,2010,3,3159,174040
CO,2010,4,65,-232985
CO,2010,5,833,67505
CO,2010,6,4057,480812
CO,2010,7,-28,568641
CO,2010,8,4598,-84190
CO,2010,9,-2333,-453439
CO,2010,10,-338,-303452
CO,2010,11,889,-82021
CO,2010,12,965,233869
CO,2011,1,-394,115638
CO,2011,2,1754,-388237
CO,2011,3,2536,44817
CO,2011,4,571,-187044
CO,2011,5,1672,75871
CO,2011,6,1548,342444
CO,2011,7,387,759492
CO,2011,8,4316,107666
CO,2011,9,-3482,-633223
CO,2011,10,1886,-419344
CO,2011,11,464,-52613
CO,2011,12,1756,343393
CO,2012,1,-5841,-111852
CO,2012,2,2222,-270586
CO,2012,3,2680,-8497
CO,2012,4,-1008,-173318
CO,2012,5,2006,251174
CO,2012,6,1299,568593
CO,2012,7,999,559298
CO,2012,8,4773,-146945
CO,2012,9,-2782,-560990
CO,2012,10,3731,-381257
CO,2012,11,779,-88410
CO,2012,12,2282,266564
CO,2013,1,13108,95194
CO,2013,2,-747,-433176
CO,2013,3,6567,120229
CO,2013,4,1039,-155941
CO,2013,5,2509,165193
CO,2013,6,996,401489
CO,2013,7,4944,448597
CO,2013,8,2925,19787
CO,2013,9,-14482,-500188
CO,2013,10,6613,-377823
CO,2013,11,-4413,-49279
CO,2013,12,7970,394264
CO,2014,1,9034,-37741
CO,2014,2,574,-453878
CO,2014,3,4599,167869
CO,2014,4,4754,-188696
CO,2014,5,1444,199180
CO,2014,6,2758,182422
CO,2014,7,1039,684848
CO,2014,8,3101,-154982
CO,2014,9,1644,-361039
CO,2014,10,4189,-289263
CO,2014,11,-804,192
CO,2014,12,2372,247016
CO,2015,1,8219,39839
CO,2015,2,2739,-506220
CO,2015,3,4154,182406
CO,2015,4,2113,-246214
CO,2015,5,1746,145040
CO,2015,6,2730,365436
CO,2015,7,1105,482273
CO,2015,8,3692,233677
CO,2015,9,2234,-479205
CO,2015,10,3427,-310956
CO,2015,11,1654,-153946
CO,2015,12,3854,302695
CO,2016,1,4819,43990
CO,2016,2,1949,-458834
CO,2016,3,3230,91603
CO,2016,4,3776,-274756
CO,2016,5,2868,233263
CO,2016,6,3810,537272
CO,2016,7,1331,623495
CO,2016,8,5271,-148621
CO,2016,9,1756,-589641
CO,2016,10,2923,-326688
CO,2016,11,2140,-118109
CO,2016,12,1845,497423
CO,2017,1,-11265,-87750
CO,2017,2,1953,-572439
CO,2017,3,3660,283125
CO,2017,4,2877,-274889
CO,2017,5,2816,237667
CO,2017,6,1623,460337
CO,2017,7,2629,654741
CO,2017,8,3595,-177499
CO,2017,9,1102,-458272
CO,2017,10,7133,-472846
CT,2007,2,3413,-53657
CT,2007,3,6933,70353
CT,2007,4,58,-306945
CT,2007,5,-1809,147295
CT,2007,6,-793,210046
CT,2007,7,600,299234
CT,2007,8,4181,152659
CT,2007,9,4917,-586603
CT,2007,10,1010,5474
CT,2007,11,3641,-29868
CT,2007,12,-3311,305286
CT,2008,1,27027,-299077
CT,2008,2,110,-256655
CT,2008,3,2689,277779
CT,2008,4,-978,-315043
CT,2008,5,246,-359473
CT,2008,6,-982,606040
CT,2008,7,-821,384832
CT,2008,8,1863,-394918
CT,2008,9,2648,62649
CT,2008,10,-4822,-349862
CT,2008,11,-7718,8389
CT,2008,12,1684,292929
CT,2009,1,-4484,163483
CT,2009,2,-4911,-172666
CT,2009,3,801,-164634
CT,2009,4,2465,-225646
CT,2009,5,-532,-71666
CT,2009,6,-2566,83548
CT,2009,7,9043,335294
CT,2009,8,-9668,161099
CT,2009,9,1059,-246656
CT,2009,10,1195,-255998
CT,2009,11,1136,-110408
CT,2009,12,9877,371380
CT,2010,1,16800,305398
CT,2010,2,-8267,-381476
CT,2010,3,267,-23819
CT,2010,4,-549,-201950
CT,2010,5,-3113,-110240
CT,2010,6,-12446,447079
CT,2010,7,-282,379729
CT,2010,8,-678,53149
CT,2010,9,2109,-324854
CT,2010,10,255,-449427
CT,2010,11,2647,-21762
CT,2010,12,3152,367140
CT,2011,1,4440,198734
CT,2011,2,-41416,-389382
CT,2011,3,41755,45405
CT,2011,4,-1750,-175705
CT,2011,5,-1284,40143
CT,2011,6,-763,202145
CT,2011,7,-1316,390234
CT,2011,8,1313,102040
CT,2011,9,-24,-476477
CT,2011,10,-140,-277997
CT,2011,11,2116,-87649
CT,2011,12,887,233218
CT,2012,1,-940,230240
CT,2012,2,-35,-200914
CT,2012,3,-888,-60021
CT,2012,4,-443,-227241
CT,2012,5,-730,55622
CT,2012,6,-884,213084
CT,2012,7,-704,570955
CT,2012,8,-287,69216
CT,2012,9,387,-445769
CT,2012,10,-10954,-443124
CT,2012,11,13831,50464
CT,2012,12,-482,252628
CT,2013,1,-596,184056
CT,2013,2,-659,-75349
CT,2013,3,-2661,-176325
CT,2013,4,2691,-43301
CT,2013,5,-601,-201815
CT,2013,6,1,297725
CT,2013,7,1324,649589
CT,2013,8,-1256,-253958
CT,2013,9,481,-326726
CT,2013,10,-775,-368924
CT,2013,11,365,29430
CT,2013,12,1421,438072
CT,2014,1,98,182062
CT,2014,2,-609,-150524
CT,2014,3,-3314,-163152
CT,2014,4,-3736,-244671
CT,2014,5,-5377,-44639
CT,2014,6,29787,111362
CT,2014,7,-156,459774
CT,2014,8,-441,-110208
CT,2014,9,227,-137976
CT,2014,10,-924,-397673
CT,2014,11,3008,113481
CT,2014,12,2515,300197
CT,2015,1,1681,154554
CT,2015,2,632,5427
CT,2015,3,-9610,-127963
CT,2015,4,-885,-250312
CT,2015,5,-976,-263180
CT,2015,6,-727,334859
CT,2015,7,-571,380705
CT,2015,8,299,72435
CT,2015,9,2234,-125522
CT,2015,10,1545,-528239
CT,2015,11,799,-103084
CT,2015,12,20,239071
CT,2016,1,2708,242001
CT,2016,2,12338,-178621
CT,2016,3,-1361,-72770
CT,2016,4,4150,-120877
CT,2016,5,-832,-160786
CT,2016,6,-754,426533
CT,2016,7,78,289874
CT,2016,8,1329,308387
CT,2016,9,176,-348537
CT,2016,10,1936,-601592
CT,2016,11,1835,-14903
CT,2016,12,2018,327423
CT,2017,1,578,126273
CT,2017,2,106,-294442
CT,2017,3,-2201,18574
CT,2017,4,4732,-76060
CT,2017,5,2788,-185126
CT,2017,6,-2367,345304
CT,2017,7,-1250,364577
CT,2017,8,1438,-56519
CT,2017,9,529,-370671
CT,2017,10,945,-156844
DC,2007,2,-153,3986
DC,2007,3,-108,-81173
DC,2007,4,-589,-18911
DC,2007,5,38,116754
DC,2007,6,230,93931
DC,2007,7,856,96280
DC,2007,8,-390,940
DC,2007,9,-217,-151372
DC,2007,10,1369,-56692
DC,2007,11,433,-66756
DC,2007,12,294,118477
DC,2008,1,1367,-58138
DC,2008,2,-98,-78904
DC,2008,3,-253,-29407
DC,2008,4,916,-25879
DC,2008,5,-95,72147
DC,2008,6,-109,241053
DC,2008,7,747,49672
DC,2008,8,-164,-123456
DC,2008,9,429,-85732
DC,2008,10,1292,-97239
DC,2008,11,543,-6817
DC,2008,12,969,81292
DC,2009,1,718,66640
DC,2009,2,-297,-181838
DC,2009,3,138,42568
DC,2009,4,-179,-52568
DC,2009,5,-178,81485
DC,2009,6,-591,106337
DC,2009,7,455,68267
DC,2009,8,44,68938
DC,2009,9,558,-255191
DC,2009,10,1858,-44633
DC,2009,11,1930,-27981
DC,2009,12,1182,148832
DC,2010,1,966,1250
DC,2010,2,534,-85854
